zouxikou.mid|走西口
yinghua.mid|樱花谣
huiguniang.mid|灰姑娘
sigh10.mid|叹十声
inrain.mid|在雨中
chiluo.mid|赤裸裸
daguomin.mid|大国民
devotion.mid|奉献
tongzhuo.mid|同桌的你
hero.mid|真心英雄
peace.mid|祝你平安
zhongchan.mid|中产阶级
chanyuan.mid|禅院钟声
historysky.mid|历史的天空
yougejia.mid|我想有个家
pin.mid|爱拼才会赢
jusan.mid|聚散两依依
windfriend.mid|风是我的朋友
lovebeauty.mid|爱江山更爱美人
langlover.mid|流浪歌手的情人
becomeu.mid|长大后我成了你
changjiang.mid|滚滚长江东逝水
marryu.mid|明天我要嫁给你
999dmg.mid|九佰九拾九朵玫瑰
cloudinwind.mid|风中有朵雨做的云
saylove.mid|想说爱你不容易
henchou.mid|我很丑可是我很温柔
qingchun.mid|我被青春撞了一下腰
northwolf.mid|我是一匹来自北方的狼
